_column	_row	_well	barcodenr	barcodetype_genomic	barcodetype_transcriptomic	cellcount	clone_id	date_sorted	experiment	indexnr	library_type	limsid	plate_id	platenr	shield	tamox_ind	timepoint	tubenr
1	I	I1	193	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	J	J1	217	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	K	K1	241	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	L	L1	265	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	M	M1	289	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	N	N1	313	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	O	O1	337	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
1	P	P1	361	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	A	A2	2	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	B	B2	26	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	C	C2	50	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	D	D2	74	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	E	E2	98	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	F	F2	122	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	G	G2	146	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	H	H2	170	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	I	I2	194	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	J	J2	218	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	K	K2	242	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	L	L2	266	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	M	M2	290	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	N	N2	314	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	O	O2	338	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
2	P	P2	362	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
3	A	A3	3	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
